Name,Team,Salary,WAR
VinceVelasquez,PHI,"2,249,000",0.75
JakeMarisnick,HOU,"2,212,500",0.7
EvanLongoria,TB,"2,166,666",2.6
AustinHedges,SD,"2,060,000",2.9
MarkCanha,OAK,"2,050,000",3.5
CarlosSantana,SEA,"2,000,000",4.8
NeilWalker,MIA,"2,000,000",0.1
RobbieGrossman,OAK,"2,000,000",0.9
HunterPence,TEX,"2,000,000",1.7
LoganForsythe,TEX,"2,000,000",0.5
BrianMcCann,ATL,"2,000,000",1.8
DerekDietrich,CIN,"2,000,000",1.1
AledmysDiaz,HOU,"2,000,000",1.1
DomingoSantana,SEA,"1,950,000",0.6
LourdesGurrielJ,TOR,"1,928,571",1.5
EloyJimenez,CWS,"1,833,333",1.7
FranciscoLiriano,PIT,"1,800,000",0.73
AustinRomine,NYY,"1,800,000",0.6
ByronBuxton,MIN,"1,750,000",2.9
CurtisGranderson,MIA,"1,750,000",0.6
GerardoParra,SF,"1,750,000",1.1
TimBeckham,SEA,"1,750,000",0.6
PaulDeJong,STL,"1,666,667",4.2
BradBrach,CHC,"1,650,000",0.35
MannyPina,MIL,"1,600,000",1.4
LeuryGarcia,CWS,"1,550,000",0.3
ScottKingery,PHI,"1,500,000",1.9
TimAnderson,CWS,"1,400,000",3.9
T.J.McFarland,ARI,"1,400,000",0.2
DelinoDeShields,TEX,"1,400,000",1.4
CharlieCulberson,ATL,"1,395,000",0.33
TommyLaStella,LAA,"1,350,000",1.5
JeremyHellickson,WAS,"1,300,000",0.1
EhireAdrianza,MIN,"1,300,000",0.8
JoshTomlin,ATL,"1,250,000",0.28
MattJoyce,ATL,"1,250,000",1.5
TravisJankowski,SD,"1,165,000",0.1
KevinPlawecki,CLE,"1,137,500",1.1
AdamConley,MIA,"1,125,000",0.1
JoseMartinez,STL,"1,125,000",0.3
WhitMerrifield,KC,"1,000,000",3.0
BrandonLowe,TB,"1,000,000",1.7
BradMiller,CLE,"1,000,000",1.2
RonaldAcuna,ATL,"1,000,000",6.1
OzzieAlbies,ATL,"1,000,000",4.4
TonyWolters,COL,"960,000",1.2
CurtCasali,CIN,"950,000",1.8
MattAndriese,ARI,"920,000",1.43
GregGarcia,SD,"910,000",1.1
